entity1,relation,entity2
iraq noun,has part,assyria noun
cervical vertebra noun,hypernym,vertebra noun
occidentalize verb,hypernym,change verb
bronze age noun,instance hypernym,time period noun
follow verb,hypernym,result verb
fucker noun,derivationally related form,sleep together verb
text file noun,synset domain topic of,computer science noun
wit noun,derivationally related form,humorous adjective
electrical phenomenon noun,hypernym,physical phenomenon noun
oscines noun,hypernym,animal order noun
general ledger noun,hypernym,ledger noun
genus lychnis noun,hypernym,caryophylloid dicot genus noun
body noun,has part,sensory system noun
hurt verb,derivationally related form,malice noun
creation noun,derivationally related form,create verb
cycadopsida noun,member meronym,bennettitales noun
crowd noun,derivationally related form,crowd verb
darter noun,derivationally related form,dart verb
electronic mail noun,synset domain topic of,computer science noun
holder noun,derivationally related form,hold verb
border noun,derivationally related form,frame verb
light noun,derivationally related form,light verb
use noun,hypernym,activity noun
klein noun,instance hypernym,couturier noun
copper-base alloy noun,hypernym,alloy noun
mentioner noun,hypernym,speaker noun
multitude noun,derivationally related form,throng verb
align verb,derivationally related form,alignment noun
ramble noun,hypernym,amble noun
georgia noun,has part,flint noun
watch verb,derivationally related form,observation noun
lexical entry noun,has part,citation form noun
orthopedics noun,hypernym,medical science noun
blow verb,derivationally related form,blow noun
string verb,hypernym,arrange verb
japan noun,has part,kyushu noun
west point noun,synset domain topic of,military noun
preen verb,derivationally related form,congratulation noun
ouachita noun,instance hypernym,river noun
loudmouth noun,hypernym,troublemaker noun
armet noun,hypernym,helmet noun
rosaceae noun,member meronym,crataegus noun
choker noun,derivationally related form,choke verb
step verb,derivationally related form,pace noun
charge verb,verb group,point verb
seat noun,hypernym,space noun
coleoptera noun,member meronym,lampyridae noun
europe noun,has part,roman empire noun
record verb,hypernym,record verb
hamamelidaceae noun,hypernym,hamamelid dicot family noun
berycomorphi noun,hypernym,animal order noun
condescension noun,hypernym,arrogance noun
swietinia noun,hypernym,rosid dicot genus noun
shoshonean noun,hypernym,uto-aztecan noun
salafism noun,hypernym,islam noun
bent noun,derivationally related form,determine verb
euarctos noun,member meronym,american black bear noun
feel verb,derivationally related form,sensation noun
mississippi noun,has part,tombigbee noun
job noun,derivationally related form,job verb
think verb,also see,chew over verb
discrimination noun,hypernym,social control noun
untidy adjective,also see,dirty adjective
explanation noun,derivationally related form,excuse verb
moderation noun,derivationally related form,mince verb
poultice verb,derivationally related form,plastering noun
orb verb,derivationally related form,orbit noun
geomyidae noun,hypernym,mammal family noun
regression noun,hypernym,defense mechanism noun
katowice noun,instance hypernym,city noun
dent noun,hypernym,consequence noun
balaenoptera noun,member meronym,finback noun
viverridae noun,member meronym,viverra noun
shoelace noun,hypernym,lace noun
caprimulgus noun,hypernym,bird genus noun
gramineae noun,member meronym,bouteloua noun
confines noun,hypernym,scope noun
invent verb,hypernym,create by mental act verb
bovidae noun,member meronym,rupicapra noun
inclination noun,derivationally related form,tend verb
inactivate verb,derivationally related form,deactivation noun
deride verb,derivationally related form,derision noun
nutrify verb,hypernym,feed verb
costusroot noun,hypernym,herb noun
jab verb,hypernym,strike verb
goffer noun,hypernym,eager beaver noun
eames noun,instance hypernym,interior designer noun
worthy adjective,derivationally related form,worthiness noun
fanjet noun,has part,gas turbine noun
insubstantial adjective,derivationally related form,immaterialize verb
anchorage noun,derivationally related form,anchor verb
break up verb,hypernym,separate verb
piano noun,has part,sustaining pedal noun
cheek noun,hypernym,feature noun
boot verb,derivationally related form,kick noun
palate noun,derivationally related form,palatal adjective
plural noun,member of domain usage,greeting noun
torture verb,derivationally related form,agony noun
mossy saxifrage noun,hypernym,saxifrage noun
spinal fluid noun,hypernym,liquid body substance noun
milk noun,hypernym,liquid body substance noun
andes noun,has part,llullaillaco noun
shaper noun,derivationally related form,shape verb
glance noun,hypernym,look noun
numismatist noun,hypernym,collector noun
united states noun,has part,hawaii noun
place verb,hypernym,situate verb
bridge noun,has part,contract noun
enemy noun,hypernym,adversary noun
translate verb,hypernym,be verb
united kingdom noun,member of domain region,punch-up noun
inclined fault noun,hypernym,fault noun
west point noun,instance hypernym,military installation noun
jupiter noun,instance hypernym,roman deity noun
colubridae noun,member meronym,hypsiglena noun
raise verb,derivationally related form,raise noun
haliaeetus noun,member meronym,bald eagle noun
startle verb,derivationally related form,galvanizer noun
report verb,hypernym,inform verb
article verb,hypernym,oblige verb
overestimate noun,derivationally related form,overvalue verb
parenthesis-free notation noun,hypernym,mathematical notation noun
scotoma noun,hypernym,visual impairment noun
annoy verb,derivationally related form,irritation noun
blend verb,derivationally related form,blend noun
compete verb,derivationally related form,competitive adjective
large person noun,hypernym,person noun
restrict verb,derivationally related form,limiter noun
hindrance noun,derivationally related form,interfere verb
aphidoidea noun,hypernym,arthropod family noun
danger noun,hypernym,condition noun
alumina noun,hypernym,corundom noun
charge verb,derivationally related form,accusation noun
ox noun,hypernym,cattle noun
narthecium noun,hypernym,liliid monocot genus noun
snake noun,hypernym,object noun
just adjective,also see,righteous adjective
brueghel noun,instance hypernym,old master noun
hitter noun,derivationally related form,strike verb
note verb,derivationally related form,perceiver noun
baptisia noun,member meronym,wild indigo noun
fractionate verb,synset domain topic of,chemistry noun
journey noun,derivationally related form,travel verb
china noun,member of domain region,chinese revolution noun
commitment noun,hypernym,engagement noun
megapodiidae noun,member meronym,genus leipoa noun
obtrusive adjective,derivationally related form,obviousness noun
drupelet noun,derivationally related form,drupe noun
twitch noun,derivationally related form,jerk verb
mistake noun,derivationally related form,err verb
rub noun,derivationally related form,rub verb
powerlessness noun,hypernym,quality noun
biogenesis noun,hypernym,generation noun
mottle verb,hypernym,spot verb
chlorophyceae noun,member meronym,ulvales noun
leave verb,verb group,leave verb
engineer noun,derivationally related form,technology noun
steamroller verb,derivationally related form,juggernaut noun
curdling noun,derivationally related form,curdle verb
peduncle noun,hypernym,nerve pathway noun
cupressaceae noun,member meronym,libocedrus noun
phasmid noun,hypernym,insect noun
polymerize verb,derivationally related form,polymer noun
disfavor noun,hypernym,rejection noun
demander noun,derivationally related form,demand verb
false scorpion noun,hypernym,arachnid noun
remission noun,hypernym,suspension noun
plural noun,member of domain usage,paring noun
board noun,derivationally related form,board verb
elapidae noun,member meronym,acanthophis noun
marattiaceae noun,member meronym,genus angiopteris noun
close order noun,synset domain topic of,military noun
genus fuchsia noun,hypernym,dicot genus noun
flight noun,derivationally related form,fly verb
gun room noun,synset domain topic of,military noun
joke noun,derivationally related form,laugh verb
aesthetics noun,derivationally related form,aesthetic adjective
travel verb,derivationally related form,traveler noun
annonaceae noun,member meronym,xylopia noun
whip-scorpion noun,hypernym,arachnid noun
salad burnet noun,hypernym,herb noun
ridicule verb,derivationally related form,knock noun
compositae noun,member meronym,chrysanthemum noun
observe verb,derivationally related form,celebration noun
oscines noun,member meronym,artamidae noun
intelligence community noun,member meronym,office of intelligence support noun
mess noun,derivationally related form,muss verb
assay verb,hypernym,analyze verb
boat verb,derivationally related form,boat noun
settlement noun,hypernym,agreement noun
shock verb,hypernym,disgust verb
cartilaginous fish noun,hypernym,fish noun
syracuse noun,instance hypernym,city noun
wet verb,hypernym,make verb
station verb,derivationally related form,post noun
poronotus noun,member meronym,dollarfish noun
perturb verb,derivationally related form,disruption noun
blenniidae noun,hypernym,fish family noun
miner noun,derivationally related form,mine verb
screen noun,hypernym,covering noun
flood noun,derivationally related form,flow verb
drunk noun,hypernym,drinker noun
corvine bird noun,hypernym,oscine noun
commission noun,derivationally related form,commissioner noun
forge verb,derivationally related form,imposter noun
fortification noun,derivationally related form,arm verb
prank verb,hypernym,decorate verb
baby bed noun,hypernym,furniture noun
social phobia noun,hypernym,phobia noun
primates noun,member meronym,tarsioidea noun
stripe verb,derivationally related form,band noun
mill-girl noun,hypernym,mill-hand noun
litigant noun,hypernym,party noun
darky noun,hypernym,black noun
fishing rod noun,has part,reel noun
